,Initial_Reserve_Amount,Primary_Cause_of_Accident,Claimant_Age,Initial_Class_of_Claim,Repairable_Flag,Total_Loss_Flag,Claimant_State,Minor_Involved,Days_to_Int_Reserve_since_FNOL,Primary_Accident_Description,Initial_Attorney_Involvement,Total_People_Involved,Non_Drivable_Flag,Number_of_Injuries,Rate_Class,Hospital_Visit,Vehicle_Type,Pedestrian_Involvement,Combined_BI_Limits,Performance_Vehicle,Claimant_Injuries
2618,26355,2,22,1,1,0,2,0,26,2,0,4,1,0,1,0,3,0,25000,0,3.0
2964,14279,3,22,1,1,0,4,0,25,1,1,3,1,3,1,0,2,0,50000,0,2.0
929,32503,0,36,1,1,0,0,0,25,2,1,2,1,2,2,0,3,0,100000,0,1.0
1837,20676,2,26,2,1,0,4,0,1,0,0,4,0,3,0,0,1,0,50000,0,3.0
1511,45023,1,49,1,1,0,1,0,26,0,0,4,0,3,0,0,3,0,50000,0,1.0
1055,38304,3,28,1,1,0,1,0,23,1,0,3,0,4,0,0,3,0,25000,0,3.0
2194,25506,1,61,0,1,0,2,0,12,1,0,2,1,4,2,0,3,0,50000,0,1.0
817,16673,2,52,1,0,0,0,0,15,1,1,4,0,1,0,0,0,0,100000,0,3.0
2588,15974,3,64,2,1,0,3,0,19,2,1,4,0,3,0,0,1,0,25000,0,3.0
67,7892,1,63,1,1,0,4,0,14,0,0,3,0,3,0,0,3,0,25000,0,2.0
1849,39212,0,73,2,1,0,3,0,10,0,0,1,1,1,2,0,2,0,50000,0,2.0
1187,10087,3,67,2,0,0,2,0,18,1,0,2,1,4,1,0,2,0,50000,0,1.0
1779,48361,2,37,1,0,0,0,0,9,1,1,3,0,2,2,0,0,0,25000,0,1.0
3043,36807,1,35,1,1,0,2,0,26,1,1,4,0,2,1,0,0,0,100000,0,2.0
2471,21542,3,78,1,1,0,4,0,6,0,1,4,1,2,0,0,3,0,50000,0,2.0
31,40476,1,60,2,0,0,3,0,24,2,0,4,0,0,0,0,1,0,50000,0,3.0
1298,35087,0,56,2,1,0,2,0,29,0,0,4,0,2,2,0,1,0,25000,0,2.0
2659,23685,0,32,1,1,0,3,0,23,2,1,3,0,2,2,0,0,0,25000,0,3.0
2044,35142,3,20,2,1,0,0,0,25,0,0,1,0,3,2,0,2,0,100000,0,3.0
610,27072,2,19,1,1,0,0,0,11,2,0,3,0,4,1,0,3,0,50000,0,2.0
2126,24542,1,58,0,1,0,0,0,4,1,0,1,1,0,1,0,2,0,25000,0,1.0
570,2550,1,59,0,1,0,4,0,16,0,0,2,0,0,2,0,3,0,100000,0,2.0
3406,12890,3,19,0,0,0,4,0,8,0,0,4,0,3,0,0,0,0,100000,0,0.0
343,35740,1,35,1,1,0,4,0,26,0,1,1,0,4,0,0,0,0,50000,0,2.0
1606,44233,2,32,1,0,0,3,0,22,2,0,2,0,2,2,0,0,0,100000,0,2.0
2602,22888,2,73,0,1,0,0,0,27,0,0,2,1,0,0,0,3,0,50000,0,2.0
678,1026,3,48,0,1,0,4,0,5,2,0,3,0,3,2,0,2,0,25000,0,2.0
1407,23571,0,28,0,1,0,2,0,3,1,1,2,0,2,1,0,3,0,100000,0,3.0
3229,37284,2,62,2,1,0,0,0,21,0,1,2,0,0,0,0,0,0,50000,0,1.0
3014,24599,3,39,2,1,0,4,0,29,1,1,1,1,1,1,0,1,0,50000,0,2.0
2303,40722,3,62,0,1,0,1,0,19,2,0,2,0,4,1,0,1,0,25000,0,1.0
1718,26793,3,29,2,1,0,2,0,3,1,1,1,0,3,0,0,3,0,25000,0,3.0
1233,33262,1,31,1,1,0,3,0,9,2,1,4,0,2,2,0,0,0,50000,0,2.0
2758,48591,2,34,1,0,0,0,0,22,2,1,3,0,2,2,0,2,0,50000,0,2.0
3226,7033,0,28,1,1,0,2,0,5,2,0,2,0,3,2,0,0,0,100000,0,3.0
2632,6949,0,44,2,0,0,4,0,2,0,1,1,0,2,1,0,2,0,50000,0,1.0
2801,30929,2,20,2,1,0,2,0,2,1,0,4,1,4,0,0,1,0,100000,0,2.0
576,15652,2,37,2,1,0,0,0,5,1,0,4,1,2,0,0,0,0,100000,0,2.0
2285,32399,2,42,0,1,0,3,0,10,1,1,4,0,0,1,0,0,0,50000,0,3.0
3672,37164,1,36,2,1,0,2,0,13,0,0,2,1,2,2,0,0,0,50000,0,0.0
1497,19490,3,23,2,1,0,2,0,25,0,1,3,0,3,1,0,2,0,50000,0,1.0
