Claim_ID,Initial_Reserve_Amount,Primary_Cause_of_Accident,Claimant_Age,Initial_Class_of_Claim,Repairable_Flag,Total_Loss_Flag,Claimant_State,Minor_Involved,Days_to_Int_Reserve_since_FNOL,Primary_Accident_Description,Initial_Attorney_Involvement,Total_People_Involved,Non_Drivable_Flag,Number_of_Injuries,Rate_Class,Hospital_Visit,Vehicle_Type,Pedestrian_Involvement,Combined_BI_Limits,Performance_Vehicle,Claimant_Injuries,claim_cost
CLM000008,37694,1,70,1,1,0,1,0,16,0,1,2,0,0,2,0,3,0,100000,0,,4478.8
CLM000011,44631,1,49,0,1,0,0,0,23,1,1,1,1,1,1,0,2,0,100000,0,1.0,97551.2
CLM000012,16523,2,64,1,0,0,1,0,10,0,1,4,0,2,1,0,1,0,50000,0,,19467.4
CLM000015,1269,1,58,1,1,0,0,0,21,0,0,1,1,4,1,0,3,0,25000,0,1.0,5933.6
CLM000016,2933,1,36,1,1,0,0,0,2,0,1,1,1,3,2,0,0,0,100000,0,1.0,24678.7
CLM000017,5811,3,46,2,0,0,2,0,14,1,0,4,1,1,2,0,0,0,25000,0,3.0,55671.1
CLM000018,38319,1,75,0,1,0,2,0,25,2,0,2,1,1,0,0,3,0,25000,0,2.0,45079.9
CLM000020,18068,3,71,0,1,0,1,0,6,1,1,1,0,2,0,0,2,0,25000,0,,20609.8
CLM000028,18931,1,61,0,1,0,3,0,18,2,0,4,1,2,0,0,0,0,25000,0,,60780.6
CLM000038,4390,1,73,0,1,0,4,0,24,2,1,1,0,2,2,0,1,0,50000,0,2.0,72688.8
CLM000039,42106,3,36,0,1,0,2,0,8,1,1,4,1,4,1,0,1,0,25000,0,3.0,294753.6
CLM000042,22277,1,20,1,0,0,4,0,1,1,1,3,1,1,2,0,0,0,100000,0,1.0,17617.5
CLM000043,11127,1,47,2,1,0,3,0,7,1,1,2,0,1,0,0,2,0,100000,0,1.0,46623.8
CLM000045,43823,2,75,2,1,0,2,0,26,1,0,2,0,0,0,0,1,0,100000,0,3.0,29887.1
CLM000046,43521,3,74,1,1,0,3,0,14,1,1,4,0,2,0,0,1,0,100000,0,1.0,37410.9
CLM000048,43501,2,67,0,1,0,0,0,24,2,0,1,0,3,2,0,1,0,25000,0,,5760.8
CLM000050,24397,1,69,1,0,0,2,0,17,1,0,3,1,1,0,0,3,0,25000,0,3.0,171461.4
CLM000054,17659,0,45,1,1,0,0,0,8,2,1,1,0,3,0,0,0,0,25000,0,1.0,21587.5
CLM000061,4443,2,22,0,1,0,3,0,19,2,0,3,0,4,0,0,0,0,100000,0,1.0,48088.8
CLM000062,24439,3,52,2,0,0,2,0,2,0,1,4,0,4,1,0,0,0,25000,0,2.0,42996.0
CLM000064,1521,3,64,1,0,0,2,0,11,1,0,3,0,2,0,0,2,0,100000,0,2.0,63152.9
CLM000068,41257,1,53,2,1,0,1,0,2,0,1,2,1,0,0,0,2,0,100000,0,3.0,66602.3
CLM000070,46258,1,41,1,0,0,1,0,14,0,0,3,0,2,0,0,2,0,50000,0,1.0,7757.2
CLM000073,661,0,70,0,1,0,3,0,25,2,0,1,1,1,0,0,1,0,100000,0,3.0,324388.1
CLM000074,37565,1,62,2,1,0,1,0,11,2,0,4,0,0,2,0,3,0,25000,0,2.0,13486.8
CLM000075,27057,2,39,1,1,0,2,0,22,0,0,4,0,0,2,0,2,0,25000,0,2.0,6193.8
CLM000079,29627,0,22,1,0,0,3,0,17,1,0,4,0,2,2,0,3,0,50000,0,1.0,33711.7
CLM000083,24753,3,35,0,1,0,2,0,7,1,0,3,0,2,1,0,2,0,100000,0,3.0,51704.0
CLM000088,17762,2,23,0,0,0,0,0,24,2,0,4,0,2,0,0,3,0,100000,0,1.0,55689.8
CLM000090,21771,2,70,2,1,0,3,0,20,2,0,4,0,4,0,0,3,0,100000,0,2.0,16517.4
CLM000095,40476,1,60,2,0,0,3,0,24,2,0,4,0,0,0,0,1,0,50000,0,3.0,190141.3
CLM000107,33659,0,20,2,0,0,3,0,10,1,0,4,0,1,1,0,1,0,50000,0,2.0,93745.8
CLM000110,39160,2,52,1,0,0,2,0,5,0,0,2,1,4,2,0,1,0,25000,0,1.0,9855.4
CLM000115,8892,0,54,2,1,0,3,0,12,2,0,1,0,4,0,0,0,0,25000,0,1.0,19829.8
CLM000118,48533,1,49,2,1,0,3,0,1,2,0,4,1,2,1,0,2,0,50000,0,1.0,24676.9
CLM000119,24099,1,52,2,0,0,4,0,16,2,1,2,0,1,0,0,0,0,50000,0,3.0,164909.7
CLM000122,14539,1,56,0,1,0,2,0,24,1,0,1,1,4,2,0,1,0,25000,0,,7692.5
CLM000123,31318,3,71,0,0,0,4,0,14,1,0,3,0,0,2,0,1,0,25000,0,2.0,68089.4
CLM000124,19615,3,47,2,1,0,3,0,24,2,0,1,0,4,2,0,3,0,100000,0,2.0,13458.8
CLM000126,25038,1,49,0,1,0,2,0,12,0,0,1,1,0,0,0,3,0,100000,0,3.0,251574.5
CLM000136,7410,3,56,1,1,0,3,0,9,2,0,4,0,0,2,0,0,0,50000,0,2.0,28994.5
CLM000137,45953,1,63,2,1,0,2,0,4,1,0,3,0,0,0,0,0,0,50000,0,1.0,9634.9
CLM000138,25946,3,30,0,1,0,1,0,9,1,0,4,1,4,1,0,3,0,50000,0,2.0,61299.5
CLM000139,706,3,27,2,1,0,4,0,8,0,0,1,1,4,0,0,3,0,25000,0,2.0,24394.7
CLM000142,23919,1,49,1,1,0,3,0,5,2,0,1,0,0,1,0,0,0,100000,0,3.0,18484.3
CLM000146,22903,3,33,0,1,0,0,0,3,2,1,3,0,0,0,0,1,0,50000,0,1.0,53961.9
CLM000147,18641,2,33,0,1,0,4,0,9,1,0,4,0,0,2,0,3,0,25000,0,1.0,19761.4
CLM000149,40842,0,25,1,1,0,3,0,19,0,1,2,1,4,2,0,2,0,100000,0,2.0,60787.7
CLM000153,16698,0,73,1,1,0,2,0,19,2,0,1,1,1,2,0,0,0,100000,0,,6652.9
CLM000154,10414,0,28,0,1,0,2,0,26,0,1,2,1,2,2,0,2,0,25000,0,,33427.5
CLM000155,28390,0,23,2,0,0,4,0,15,0,1,2,0,0,1,0,0,0,100000,0,3.0,363855.9
CLM000158,44189,0,78,0,0,0,0,0,7,0,0,2,1,0,2,0,0,0,100000,0,1.0,135561.2
CLM000159,43057,1,78,0,1,0,1,0,24,2,0,2,1,4,2,0,2,0,50000,0,2.0,61103.2
CLM000164,30223,2,62,2,1,0,1,0,12,1,0,4,0,4,2,0,2,0,100000,0,2.0,7748.7
CLM000167,26439,2,18,0,1,0,4,0,6,0,0,4,1,1,2,0,2,0,50000,0,2.0,23285.4
CLM000168,49425,0,49,2,0,0,4,0,10,1,0,4,0,0,0,0,3,0,25000,0,3.0,153332.7
CLM000176,44762,0,27,1,1,0,0,0,14,0,0,1,1,1,0,0,2,0,100000,0,,11813.8
CLM000179,1806,0,56,1,1,0,0,0,1,1,0,4,0,3,2,0,0,0,25000,0,1.0,13911.0
CLM000183,40794,0,77,0,1,0,3,0,16,0,0,2,0,1,2,0,1,0,25000,0,3.0,204177.2
CLM000186,29820,1,74,0,1,0,4,0,17,0,1,1,0,4,0,0,0,0,25000,0,3.0,426830.2
CLM000190,14045,3,62,1,1,0,4,0,29,0,0,1,0,0,2,0,2,0,100000,0,3.0,28670.9
CLM000192,35266,1,33,0,1,0,0,0,27,1,0,3,1,4,2,0,2,0,50000,0,1.0,38063.5
CLM000196,3804,0,70,2,1,0,4,0,12,2,0,3,0,2,1,0,1,0,100000,0,1.0,6751.5
CLM000198,39853,3,46,1,1,0,4,0,7,2,0,2,0,0,2,0,2,0,25000,0,2.0,8427.5
CLM000199,18175,2,48,0,0,0,0,0,25,1,1,3,1,0,2,0,1,0,50000,0,2.0,147327.6
CLM000206,27236,0,77,0,1,0,3,0,27,0,1,2,1,4,2,0,3,0,25000,0,2.0,349906.3
CLM000209,47823,3,38,0,1,0,4,0,4,0,0,2,0,0,1,0,3,0,25000,0,1.0,18234.0
CLM000212,25048,1,75,0,0,0,3,0,10,1,0,4,0,1,2,0,2,0,100000,0,1.0,43000.0
CLM000213,39123,0,58,2,0,0,0,0,23,2,0,2,0,4,0,0,2,0,50000,0,3.0,166113.2
CLM000214,7892,1,63,1,1,0,4,0,14,0,0,3,0,3,0,0,3,0,25000,0,2.0,13550.9
CLM000215,47217,3,62,0,1,0,2,0,3,0,0,2,0,1,0,0,2,0,25000,0,1.0,38108.4
CLM000216,22056,2,77,1,1,0,0,0,14,1,0,3,0,1,1,0,0,0,25000,0,2.0,28105.2
CLM000218,26809,0,55,0,0,0,1,0,26,0,0,2,1,4,0,0,2,0,100000,0,,153057.2
CLM000221,33470,2,69,2,0,0,0,0,21,1,0,1,0,0,1,0,2,0,50000,0,1.0,16393.0
CLM000224,25842,1,20,0,0,0,3,0,5,0,0,2,0,3,0,0,3,0,25000,0,1.0,52632.6
CLM000226,2827,2,31,0,1,0,1,0,22,0,1,4,1,3,1,0,3,0,25000,0,3.0,216739.1
CLM000228,41045,2,30,2,1,0,3,0,7,0,1,3,0,0,0,0,3,0,50000,0,2.0,38280.0
CLM000232,45042,1,74,1,1,0,4,0,16,2,0,4,0,1,2,0,2,0,25000,0,,3029.0
CLM000234,23171,3,65,1,0,0,4,0,18,1,1,3,0,1,0,0,3,0,50000,0,1.0,31796.8
CLM000239,44857,1,72,1,1,0,3,0,19,1,1,4,1,4,1,0,1,0,50000,0,3.0,184342.7
CLM000241,26870,2,34,1,0,0,3,0,15,2,1,1,1,3,0,0,1,0,100000,0,1.0,82444.6
CLM000246,30706,2,78,1,1,0,0,0,3,1,0,1,0,1,2,0,2,0,25000,0,3.0,30321.9
CLM000248,11911,1,51,0,0,0,4,0,19,0,0,3,1,4,0,0,1,0,100000,0,2.0,106635.2
CLM000253,19860,2,37,1,0,0,0,0,3,0,0,3,0,2,1,0,1,0,100000,0,1.0,11109.2
CLM000254,18843,3,38,1,1,0,2,0,17,0,0,2,1,0,0,0,1,0,25000,0,1.0,5096.5
CLM000258,11611,0,55,1,1,0,3,0,5,1,0,1,0,4,1,0,1,0,100000,0,1.0,15377.9
CLM000262,8620,1,26,2,0,0,0,0,8,0,0,4,1,3,0,0,0,0,25000,0,1.0,87942.1
CLM000264,47525,1,79,2,0,0,4,0,3,1,0,2,1,2,0,0,1,0,100000,0,2.0,37751.0
CLM000265,47754,3,61,2,0,0,2,0,18,2,0,1,1,1,0,0,2,0,50000,0,1.0,14593.5
CLM000266,22418,3,43,2,0,0,2,0,15,1,1,1,1,0,0,0,2,0,100000,0,3.0,125559.2
CLM000271,31565,0,29,2,1,0,4,0,25,2,0,2,0,2,0,0,0,0,25000,0,1.0,8368.5
CLM000275,12335,0,26,1,1,0,4,0,4,1,0,1,0,1,1,0,2,0,100000,0,1.0,7300.5
CLM000278,32116,2,46,0,1,0,2,0,11,0,0,4,0,1,0,0,0,0,25000,0,2.0,17807.2
CLM000279,38691,0,48,1,1,0,1,0,26,0,0,2,0,1,1,0,1,0,100000,0,2.0,22432.3
CLM000281,21432,3,37,0,0,0,1,0,5,1,0,4,1,4,0,0,0,0,100000,0,3.0,246037.3
CLM000282,30355,2,40,0,1,0,3,0,10,1,1,4,1,4,1,0,0,0,50000,0,2.0,231212.2
CLM000286,43142,3,38,1,0,0,1,0,5,0,1,1,0,1,2,0,1,0,100000,0,1.0,7741.3
CLM000291,12683,3,39,0,1,0,3,0,26,1,0,1,0,4,0,0,1,0,25000,0,1.0,34322.1
CLM000292,29799,3,27,2,0,0,0,0,2,0,0,2,0,3,1,0,3,0,50000,0,2.0,30346.7
CLM000294,33211,1,32,0,0,0,4,0,29,2,0,4,0,0,1,0,1,0,50000,0,,13186.8
CLM000298,3057,0,77,0,1,0,1,0,28,0,0,2,0,0,1,0,3,0,50000,0,2.0,64491.9
CLM000306,12469,1,53,2,1,0,3,0,24,1,0,4,1,2,2,0,1,0,100000,0,3.0,20182.8
CLM000308,47260,2,34,0,1,0,2,0,20,0,0,4,1,4,1,0,1,0,100000,0,2.0,36147.2
CLM000309,29143,1,45,1,0,0,4,0,29,0,0,4,0,4,1,0,1,0,100000,0,3.0,34364.9
CLM000311,38967,2,51,1,0,0,1,0,26,0,0,2,0,3,0,0,0,0,100000,0,1.0,25463.5
CLM000312,23828,2,65,1,1,0,1,0,2,2,1,4,1,3,2,0,2,0,100000,0,2.0,56155.1
CLM000313,26376,2,28,2,1,0,4,0,15,1,1,3,1,3,1,0,3,0,25000,0,3.0,62431.6
CLM000316,22899,1,50,2,1,0,2,0,24,1,0,2,0,1,0,0,0,0,25000,0,1.0,6783.4
CLM000323,42414,0,54,1,1,0,0,0,22,0,0,3,0,2,1,0,0,0,100000,0,2.0,56455.3
CLM000326,20330,3,43,2,0,0,1,0,13,0,1,3,1,1,2,0,0,0,100000,0,1.0,16385.2
CLM000328,7393,2,78,0,1,0,4,0,15,0,1,3,1,3,1,0,1,0,100000,0,2.0,107901.2
CLM000332,9254,2,27,1,1,0,2,0,6,0,0,3,0,0,1,0,1,0,25000,0,,2800.0
CLM000333,11177,1,69,2,1,0,2,0,15,2,1,1,0,2,2,0,2,0,100000,0,1.0,9168.8
CLM000336,31246,0,70,2,1,0,2,0,12,0,0,1,0,3,2,0,1,0,100000,0,1.0,6087.6
CLM000338,48904,0,44,2,1,0,0,0,5,2,0,1,1,4,1,0,2,0,25000,0,2.0,22928.5
CLM000344,28143,2,28,2,1,0,3,0,4,2,0,2,0,4,0,0,2,0,50000,0,,6523.8
CLM000349,44580,1,38,0,1,0,3,0,2,0,1,2,0,4,0,0,3,0,50000,0,2.0,230646.8
CLM000350,40947,1,38,0,1,0,4,0,25,1,1,2,0,4,1,0,3,0,100000,0,1.0,47856.1
CLM000351,8708,1,35,1,0,0,0,0,21,0,0,1,0,0,2,0,2,0,100000,0,3.0,31610.0
CLM000354,17953,0,21,2,1,0,0,0,11,0,1,4,0,4,2,0,0,0,100000,0,2.0,25562.3
CLM000359,34328,1,42,1,1,0,2,0,17,0,1,3,0,0,2,0,0,0,25000,0,1.0,4078.5
CLM000360,19211,3,73,2,1,0,0,0,25,2,0,1,1,3,1,0,3,0,50000,0,2.0,31301.4
CLM000361,3920,2,30,1,0,0,1,0,7,0,0,1,0,1,1,0,0,0,50000,0,2.0,21604.8
CLM000363,801,2,44,2,0,0,1,0,1,1,1,3,0,1,2,0,3,0,100000,0,2.0,80949.4
CLM000364,45736,1,77,1,0,0,4,0,20,0,0,3,1,0,1,0,0,0,100000,0,2.0,53343.7
CLM000365,1199,2,36,1,0,0,1,0,15,1,1,1,1,4,1,0,0,0,50000,0,1.0,53561.6
CLM000369,6602,3,36,1,0,0,3,0,3,1,0,2,0,0,2,0,3,0,100000,0,1.0,15919.6
CLM000371,27141,0,18,2,1,0,4,0,28,1,0,2,0,3,1,0,0,0,25000,0,2.0,13164.9
CLM000373,33245,3,34,1,1,0,2,0,29,2,1,2,0,1,1,0,2,0,50000,0,2.0,13121.5
CLM000374,23593,2,38,0,1,0,1,0,20,1,1,1,1,1,1,0,2,0,25000,0,1.0,102649.4
CLM000377,35163,0,67,1,0,0,3,0,29,0,0,2,0,1,0,0,3,0,50000,0,3.0,430394.3
